CaIIH :=		lambda = 3968.47	lambda_left = 3960.50	lambda_right = 3976.50  deltalambda = 1.0
CaIIK :=		lambda = 3933.67	lambda_left = 3925.50	lambda_right = 3938.50  deltalambda = 1.25
Hbeta :=    	lambda = 4861.32    lambda_left = 4860.82	lambda_right = 4862.82  deltalambda = 2.75
HeD3 :=     	lambda = 5878.25 	lambda_left = 5872.75	lambda_right = 5882.75 	deltalambda = 3.5
NaD2 :=     	lambda = 5890.78 	lambda_left = 5882.75 	lambda_right = 5908.25 	deltalambda = 2.5
NaD1 :=     	lambda = 5898.56 	lambda_left = 5897.56 	lambda_right = 5908.25 	deltalambda = 2.5
Halpha :=   	lambda = 6564.60 	lambda_left = 6554.60 	lambda_right = 6578.50 	deltalambda = 6.0
CaIRT-a :=		lambda = 8500.35 	lambda_left = 8494.0 	lambda_right = 8505.00 	deltalambda = 4.50
CaIRT-b := 		lambda = 8542.44 	lambda_left = 8538.5 	lambda_right = 8555.00 	deltalambda = 1.0
CaIRT-c := 		lambda = 8664.52 	lambda_left = 8658.0 	lambda_right = 8670.00 	deltalambda = 1.0
FeI8691 :=		lambda = 8691.01 	lambda_left = 8680.75 	lambda_right = 8701.25 	deltalambda = 2.5
PaschenD :=     lambda = 10052.14   lambda_left = 10050.0	lambda_right = 10054.0	deltalambda = 0.5
HeI10833 :=     lambda = 10833.31   lambda_left = 10821.74	lambda_right = 10874.7 	deltalambda = 3.0
PaschenG :=     lambda = 10941.091	lambda_left = 10938.59	lambda_right = 10943.59	deltalambda = 2.5
PaschenB :=     lambda = 12830.29	lambda_left = 12818.09	lambda_right = 12824.09	deltalambda = 2.2
NaI12679 :=		lambda = 12681.00	lambda_left = 12676.57	lambda_right = 12681.70	deltalambda = 3.0
NaI8195D1 := 	lambda = 8183.256 	lambda_left = 8179.256	lambda_right = 8187.256	deltalambda = 4.0
NaI8195D2 := 	lambda = 8195.80 	lambda_left = 8199.80 	lambda_right = 8191.80 	deltalambda = 4.0 
KI8390 := 		lambda = 8390.22	lambda_left = 8386.22	lambda_right = 8394.22	deltalambda = 4.0
MnI5432 :=		lambda = 5431.05	lambda_left = 5428.35	lambda_right = 5432.35	deltalambda = 1.5 
